Date time;Temp;Ws;Wd;Collection date
2022-11-01 00:00;1.6;15.5;300;2022-10-31 23:59
2022-11-01 01:00;1.2;8.4;302;2022-10-31 23:59
2022-11-01 02:00;0.7;5.3;294;2022-10-31 23:59
2022-11-01 03:00;0.3;4.5;291;2022-10-31 23:59
2022-11-01 04:00;0.3;4.6;287;2022-10-31 23:59
2022-11-01 05:00;0.1;3.6;275;2022-10-31 23:59
2022-11-01 06:00;-0.6;3;270;2022-10-31 23:59
2022-11-01 07:00;-0.8;3;299;2022-10-31 23:59
2022-11-01 08:00;0;2.8;254;2022-10-31 23:59
2022-11-01 09:00;1.5;3.1;272;2022-10-31 23:59
2022-11-01 10:00;2.5;4.3;305;2022-10-31 23:59
2022-11-01 11:00;3;3.6;219;2022-10-31 23:59
2022-11-01 12:00;3;2.4;265;2022-10-31 23:59
2022-11-01 13:00;2.5;2.1;240;2022-10-31 23:59
2022-11-01 14:00;1.4;2.1;203;2022-10-31 23:59
2022-11-01 15:00;0.6;2.3;251;2022-10-31 23:59
2022-11-01 16:00;0.1;2.1;4;2022-10-31 23:59
2022-11-01 17:00;-0.3;1;73;2022-10-31 23:59
2022-11-01 18:00;-0.4;1.2;101;2022-10-31 23:59
2022-11-01 19:00;-0.4;1.1;109;2022-10-31 23:59
2022-11-01 20:00;-0.3;0.2;109;2022-10-31 23:59
2022-11-01 21:00;0.4;0.1;95;2022-10-31 23:59
2022-11-01 22:00;0.9;0.1;87;2022-10-31 23:59
2022-11-01 23:00;1.4;0.1;76;2022-10-31 23:59
2022-11-02 00:00;0.2;0.3;128;2022-11-01 23:59
2022-11-02 01:00;0.8;0.2;131;2022-11-01 23:59
2022-11-02 02:00;1.1;0.1;125;2022-11-01 23:59
2022-11-02 03:00;1.5;0.1;126;2022-11-01 23:59
2022-11-02 04:00;1.6;0.1;129;2022-11-01 23:59
2022-11-02 05:00;2.3;0.1;131;2022-11-01 23:59
2022-11-02 06:00;3.2;0.1;138;2022-11-01 23:59
2022-11-02 07:00;3.5;0.1;134;2022-11-01 23:59
2022-11-02 08:00;3.7;0.1;140;2022-11-01 23:59
2022-11-02 09:00;4;0.1;135;2022-11-01 23:59
2022-11-02 10:00;4.2;0.1;145;2022-11-01 23:59
2022-11-02 11:00;4.3;0.1;147;2022-11-01 23:59
2022-11-02 12:00;4.5;0.1;140;2022-11-01 23:59
2022-11-02 13:00;4.7;0.4;140;2022-11-01 23:59
2022-11-02 14:00;5.1;0.8;139;2022-11-01 23:59
2022-11-02 15:00;5.3;1.1;143;2022-11-01 23:59
2022-11-02 16:00;5.4;1.4;149;2022-11-01 23:59
2022-11-02 17:00;5.4;1.8;151;2022-11-01 23:59
2022-11-02 18:00;5.3;2.1;145;2022-11-01 23:59
2022-11-02 19:00;5.1;1.7;137;2022-11-01 23:59
2022-11-02 20:00;5;0.4;128;2022-11-01 23:59
2022-11-02 21:00;5;0.2;115;2022-11-01 23:59
2022-11-02 22:00;4.9;0.1;110;2022-11-01 23:59
2022-11-02 23:00;4.9;0.1;111;2022-11-01 23:59
2022-11-03 00:00;5.7;0.2;135;2022-11-02 23:59
2022-11-03 01:00;5.8;0.2;130;2022-11-02 23:59
2022-11-03 02:00;5.9;0.3;125;2022-11-02 23:59
2022-11-03 03:00;6;0.1;138;2022-11-02 23:59
2022-11-03 04:00;6.1;0.1;138;2022-11-02 23:59
2022-11-03 05:00;6.2;0.1;139;2022-11-02 23:59
2022-11-03 06:00;6;0.1;139;2022-11-02 23:59
2022-11-03 07:00;6;0.1;136;2022-11-02 23:59
2022-11-03 08:00;6;0.1;138;2022-11-02 23:59
2022-11-03 09:00;6.1;0.1;138;2022-11-02 23:59
2022-11-03 10:00;6.1;0.1;140;2022-11-02 23:59
2022-11-03 11:00;6.1;0.1;141;2022-11-02 23:59
2022-11-03 12:00;6.2;0.1;143;2022-11-02 23:59
2022-11-03 13:00;6.2;0.3;151;2022-11-02 23:59
2022-11-03 14:00;6.2;0.4;154;2022-11-02 23:59
