Datum;Tid (UTC);Lufttemperatur;Vindriktning;Vindhastighet
2022-11-01;00:00:00;0.3;280;2.0
2022-11-01;01:00:00;0.4;270;2.0
2022-11-01;02:00:00;0.4;290;2.0
2022-11-01;03:00:00;0.0;280;2.0
2022-11-01;04:00:00;-0.2;280;2.0
2022-11-01;05:00:00;-0.6;270;1.0
2022-11-01;06:00:00;-1.9;0;0.0
2022-11-01;07:00:00;-2.2;270;1.0
2022-11-01;08:00:00;-0.9;290;1.0
2022-11-01;09:00:00;0.4;260;2.0
2022-11-01;10:00:00;1.3;300;1.0
2022-11-01;11:00:00;2.5;270;1.0
2022-11-01;12:00:00;3.2;0;0.0
2022-11-01;13:00:00;2.5;230;1.0
2022-11-01;14:00:00;0.1;250;1.0
2022-11-01;15:00:00;-1.2;280;1.0
2022-11-01;16:00:00;-1.8;0;0.0
2022-11-01;17:00:00;-2.2;270;1.0
2022-11-01;18:00:00;-2.7;0;0.0
2022-11-01;19:00:00;-2.7;0;0.0
2022-11-01;20:00:00;-1.9;0;0.0
2022-11-01;21:00:00;-1.4;80;1.0
2022-11-01;22:00:00;-1.0;0;0.0
2022-11-01;23:00:00;-0.4;0;0.0
2022-11-02;00:00:00;-0.1;110;1.0
2022-11-02;01:00:00;0.6;100;1.0
2022-11-02;02:00:00;0.8;100;1.0
2022-11-02;03:00:00;1.9;100;1.0
2022-11-02;04:00:00;3.2;130;2.0
2022-11-02;05:00:00;3.5;150;2.0
2022-11-02;06:00:00;3.6;150;2.0
2022-11-02;07:00:00;3.7;140;1.0
2022-11-02;08:00:00;3.8;140;1.0
2022-11-02;09:00:00;4.1;130;2.0
2022-11-02;10:00:00;4.7;120;2.0
2022-11-02;11:00:00;5.1;130;2.0
2022-11-02;12:00:00;5.4;140;1.0
2022-11-02;13:00:00;5.4;140;2.0
2022-11-02;14:00:00;4.8;140;2.0
2022-11-02;15:00:00;4.8;140;2.0
2022-11-02;16:00:00;4.6;140;2.0
2022-11-02;17:00:00;4.3;140;2.0
2022-11-02;18:00:00;4.1;120;1.0
2022-11-02;19:00:00;4.2;120;1.0
2022-11-02;20:00:00;4.3;110;2.0
2022-11-02;21:00:00;4.4;110;1.0
2022-11-02;22:00:00;4.6;120;1.0
2022-11-02;23:00:00;4.7;120;2.0
2022-11-03;00:00:00;4.8;120;2.0
2022-11-03;01:00:00;4.8;100;2.0
2022-11-03;02:00:00;4.8;110;2.0
2022-11-03;03:00:00;4.9;120;2.0
2022-11-03;04:00:00;4.8;110;2.0
2022-11-03;05:00:00;4.8;120;1.0
2022-11-03;06:00:00;4.8;100;2.0
2022-11-03;07:00:00;4.8;120;2.0
2022-11-03;08:00:00;4.9;110;2.0
2022-11-03;09:00:00;5.0;120;2.0
2022-11-03;10:00:00;5.2;130;2.0
2022-11-03;11:00:00;5.4;140;2.0
2022-11-03;12:00:00;5.5;130;2.0
2022-11-03;13:00:00;5.5;120;2.0
2022-11-03;14:00:00;5.6;130;2.0
2022-11-03;15:00:00;5.7;150;2.0
2022-11-03;16:00:00;5.8;130;1.0
2022-11-03;17:00:00;6.1;130;1.0
2022-11-03;18:00:00;6.3;120;1.0
2022-11-03;19:00:00;6.8;140;1.0
2022-11-03;20:00:00;6.9;160;2.0
2022-11-03;21:00:00;6.3;140;2.0
2022-11-03;22:00:00;6.0;160;1.0
2022-11-03;23:00:00;6.0;170;1.0
2022-11-04;00:00:00;5.9;160;1.0
2022-11-04;01:00:00;5.8;140;1.0
2022-11-04;02:00:00;5.7;140;1.0
2022-11-04;03:00:00;5.9;150;2.0
2022-11-04;04:00:00;6.1;160;2.0
2022-11-04;05:00:00;5.9;150;2.0
2022-11-04;06:00:00;6.4;170;2.0
2022-11-04;07:00:00;6.6;140;2.0
2022-11-04;08:00:00;6.6;160;2.0
2022-11-04;09:00:00;7.1;160;2.0
2022-11-04;10:00:00;7.3;180;2.0
2022-11-04;11:00:00;7.4;160;2.0
2022-11-04;12:00:00;7.2;180;3.0
2022-11-04;13:00:00;7.1;160;2.0
2022-11-04;14:00:00;7.2;170;2.0
2022-11-04;15:00:00;6.7;160;1.0
2022-11-04;16:00:00;6.7;190;2.0
2022-11-04;17:00:00;6.8;170;2.0
2022-11-04;18:00:00;7.0;170;2.0
2022-11-04;19:00:00;6.9;180;2.0
2022-11-04;20:00:00;6.6;200;2.0
2022-11-04;21:00:00;5.9;180;1.0
2022-11-04;22:00:00;5.4;190;2.0
2022-11-04;23:00:00;4.8;200;2.0
2022-11-05;00:00:00;4.7;160;1.0
2022-11-05;01:00:00;5.2;160;2.0
2022-11-05;02:00:00;5.1;160;1.0
2022-11-05;03:00:00;5.0;140;1.0
2022-11-05;04:00:00;5.3;130;1.0
2022-11-05;05:00:00;5.4;120;1.0
2022-11-05;06:00:00;5.6;150;1.0
2022-11-05;07:00:00;5.9;160;2.0
2022-11-05;08:00:00;6.1;160;2.0
2022-11-05;09:00:00;6.3;150;1.0
2022-11-05;10:00:00;6.4;160;3.0
2022-11-05;11:00:00;6.4;170;3.0
2022-11-05;12:00:00;6.1;170;2.0
2022-11-05;13:00:00;5.9;160;2.0
2022-11-05;14:00:00;5.7;150;3.0
2022-11-05;15:00:00;5.6;160;4.0
2022-11-05;16:00:00;5.5;160;3.0
2022-11-05;17:00:00;5.4;170;4.0
2022-11-05;18:00:00;5.2;170;3.0
2022-11-05;19:00:00;5.0;160;3.0
2022-11-05;20:00:00;4.9;160;4.0
2022-11-05;21:00:00;4.8;160;4.0
